82;457;"{""name"":""ADVentura The Navigator Magellan Toro Bundle"",""artikul_number"":""557"",""price_per_piece"":""970"",""pieces"":""20"",""package_price"":""194.00"",""status"":""active"",""state"":""new""}";"2020-11-26 10:50:13";557;557;11.11.2019
83;146;"{""name"":""Mombacho Liga Maestro Pequeno"",""artikul_number"":""158"",""price_per_piece"":""690"",""pieces"":""12"",""package_price"":""82.80"",""status"":""active"",""state"":""new""}";"2020-11-26 11:02:59";158;158;08.11.2019
84;444;"{""name"":""Blackbird Crow Robusto"",""artikul_number"":""544"",""price_per_piece"":""880"",""pieces"":""21"",""package_price"":""184.80"",""status"":""active"",""state"":""new""}";"2020-11-26 11:04:33";544;544;06.11.2019
85;445;"{""name"":""Blackbird Crow Toro"",""artikul_number"":""545"",""price_per_piece"":""990"",""pieces"":""21"",""package_price"":""207.90"",""status"":""active"",""state"":""new""}";"2020-11-26 11:05:22";545;545;06.11.2019
86;446;"{""name"":""Blackbird Unkind Robusto"",""artikul_number"":""546"",""price_per_piece"":""880"",""pieces"":""21"",""package_price"":""184.80"",""status"":""active"",""state"":""new""}";"2020-11-26 11:05:45";546;546;06.11.2019
87;447;"{""name"":""Blackbird Unkind Toro"",""artikul_number"":""547"",""price_per_piece"":""990"",""pieces"":""21"",""package_price"":""207.90"",""status"":""active"",""state"":""new""}";"2020-11-26 11:06:17";547;547;06.11.2019
88;448;"{""name"":""Blackbird Rook Robusto"",""artikul_number"":""548"",""price_per_piece"":""880"",""pieces"":""21"",""package_price"":""184.80"",""status"":""active"",""state"":""new""}";"2020-11-26 11:06:40";548;548;06.11.2019
89;449;"{""name"":""Blackbird Rook Toro"",""artikul_number"":""549"",""price_per_piece"":""990"",""pieces"":""21"",""package_price"":""207.90"",""status"":""active"",""state"":""new""}";"2020-11-26 11:07:16";549;549;06.11.2019
90;450;"{""name"":""Blackbird Jackdaw Robusto"",""artikul_number"":""550"",""price_per_piece"":""880"",""pieces"":""21"",""package_price"":""184.80"",""status"":""active"",""state"":""new""}";"2020-11-26 11:07:40";550;550;06.11.2019
91;451;"{""name"":""Blackbird Jackdaw Toro"",""artikul_number"":""551"",""price_per_piece"":""990"",""pieces"":""21"",""package_price"":""207.90"",""status"":""active"",""state"":""new""}";"2020-11-26 11:08:01";551;551;06.11.2019
92;452;"{""name"":""Blackbird Cuco Robusto"",""artikul_number"":""552"",""price_per_piece"":""880"",""pieces"":""21"",""package_price"":""184.80"",""status"":""active"",""state"":""new""}";"2020-11-26 11:08:30";552;552;06.11.2019
93;453;"{""name"":""Blackbird Cuco Toro"",""artikul_number"":""553"",""price_per_piece"":""990"",""pieces"":""21"",""package_price"":""207.90"",""status"":""active"",""state"":""new""}";"2020-11-26 11:08:48";553;553;06.11.2019
94;454;"{""name"":""Blackbird Finch Robsto"",""artikul_number"":""554"",""price_per_piece"":""880"",""pieces"":""21"",""package_price"":""184.80"",""status"":""active"",""state"":""new""}";"2020-11-26 11:09:06";554;554;06.11.2019
