"id";"product_id";"data";"created_at";"updated_at"
"41";"496";"{""old"":{""id"":""496"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""496"",""current_number"":""596"",""name"":""Dunbarton Mi Querida Fino Largo"",""artikul_number"":""596"",""price_per_piece"":""1090"",""pieces"":""20"",""package_price"":""218.00"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 11:10:22";"2020-11-26 11:10:22"
"42";"497";"{""old"":{""id"":""497"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""497"",""current_number"":""597"",""name"":""Dunbarton Mi Querida Ancho Corto"",""artikul_number"":""597"",""price_per_piece"":""1040"",""pieces"":""20"",""package_price"":""208.00"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 11:10:39";"2020-11-26 11:10:39"
"43";"498";"{""old"":{""id"":""498"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""498"",""current_number"":""598"",""name"":""Dunbarton Mi Querida Ancho Largo"",""artikul_number"":""598"",""price_per_piece"":""1090"",""pieces"":""20"",""package_price"":""218.00"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 11:10:54";"2020-11-26 11:10:54"
"44";"499";"{""old"":{""id"":""499"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""499"",""current_number"":""599"",""name"":""Dunbarton Mi Querida Muy Gordo Grande"",""artikul_number"":""599"",""price_per_piece"":""1190"",""pieces"":""20"",""package_price"":""238.00"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 11:11:18";"2020-11-26 11:11:18"
"45";"500";"{""old"":{""id"":""500"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""500"",""current_number"":""600"",""name"":""Dunbarton Umbagog Corona Gorda"",""artikul_number"":""600"",""price_per_piece"":""820"",""pieces"":""10"",""package_price"":""82.00"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 11:11:34";"2020-11-26 11:11:34"
"46";"501";"{""old"":{""id"":""501"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""501"",""current_number"":""601"",""name"":""Dunbarton Umbagog Robusto Plus"",""artikul_number"":""601"",""price_per_piece"":""840"",""pieces"":""10"",""package_price"":""84.00"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 11:11:57";"2020-11-26 11:11:57"
"47";"502";"{""old"":{""id"":""502"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""502"",""current_number"":""602"",""name"":""Dunbarton Umbagog Toro Toro"",""artikul_number"":""602"",""price_per_piece"":""870"",""pieces"":""10"",""package_price"":""87.00"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 11:12:12";"2020-11-26 11:12:12"
"48";"503";"{""old"":{""id"":""503"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""503"",""current_number"":""603"",""name"":""Dunbarton Umbagog Gordo Gordo"",""artikul_number"":""603"",""price_per_piece"":""940"",""pieces"":""10"",""package_price"":""94.00"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 11:12:35";"2020-11-26 11:12:35"
"49";"460";"{""old"":{""id"":""460"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""460"",""current_number"":""560"",""name"":""La Rosa de Sandiego Clasico Robusto"",""artikul_number"":""560"",""price_per_piece"":""580"",""pieces"":""20"",""package_price"":""116.00"",""status"":""active"",""state"":""new"",""date_changed"":""27.05.2020""}}";"2020-11-26 11:13:36";"2020-11-26 11:13:36"
"50";"461";"{""old"":{""id"":""461"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""461"",""current_number"":""561"",""name"":""La Rosa de Sandiego Clasico Toro Gordo"",""artikul_number"":""561"",""price_per_piece"":""620"",""pieces"":""20"",""package_price"":""124.00"",""status"":""active"",""state"":""new"",""date_changed"":""27.05.2020""}}";"2020-11-26 11:13:59";"2020-11-26 11:13:59"
